iter	F1	Logloss
0	0.9935297443	0.4246437121
1	0.9950683697	0.2443434716
2	0.9975614709	0.140125171
3	0.9974196676	0.09117825928
4	0.9976039921	0.06358526854
5	0.9976660906	0.0474411498
6	0.9976355906	0.0383409004
7	0.9976143675	0.03317365352
8	0.9975251617	0.025759861
9	0.9976193195	0.02203252667
10	0.9978465347	0.01767695518
11	0.9978429959	0.01574828648
12	0.9978386708	0.01421663387
13	0.9978345817	0.01332749975
14	0.9980479778	0.01223887022
15	0.9981408718	0.01157168719
16	0.9983130248	0.01096059698
17	0.998314676	0.01056750803
18	0.998376501	0.0101374978
19	0.9984294338	0.009888928957
20	0.9985499801	0.009563600919
21	0.9986612978	0.009183459131
22	0.9987149013	0.008942074481
23	0.9986392051	0.008477797134
24	0.9986625557	0.007944741844
25	0.9987273238	0.007518557627
26	0.9987763091	0.007253343212
27	0.9988941075	0.007054297953
28	0.9989542144	0.006875481841
29	0.9988860872	0.006765160594
30	0.998945565	0.006661839075
31	0.9990020476	0.006366095015
32	0.9990297258	0.00620958914
33	0.9990324779	0.006076182629
34	0.9990309839	0.006020359432
35	0.9990303548	0.005933509731
36	0.9990294112	0.005832870374
37	0.9990290967	0.005708601842
38	0.9990265804	0.00559405044
39	0.999025165	0.005500734414
40	0.9990234351	0.00536116565
41	0.9990228061	0.005222642209
42	0.9990218625	0.005157167491
43	0.9990214693	0.005080439399
44	0.9990205257	0.005004457517
45	0.9990203685	0.004908915271
46	0.999019189	0.004877017182
47	0.9990191104	0.004818524403
48	0.9990248505	0.004725923164
49	0.9990241428	0.004618898359
50	0.9990252437	0.004530900995
51	0.9990234351	0.004454456504
52	0.9990226488	0.004399635408
53	0.9990211548	0.004326242904
54	0.9990819545	0.004270958563
55	0.9991424323	0.004215139985
56	0.9991400733	0.004116154868
57	0.9991430613	0.004040840297
58	0.9991424323	0.004003554328
59	0.9991417246	0.003986290526
60	0.9991409382	0.003961293188
61	0.9991412528	0.003934316497
62	0.9991410955	0.003886013987
63	0.9991411741	0.003846848614
64	0.9991431399	0.003817963064
65	0.9991438476	0.003778145091
66	0.9991425895	0.003700316642
67	0.999207306	0.003680293647
68	0.9992168206	0.003610776034
69	0.9992218532	0.003567114858
70	0.9992222464	0.003448581461
71	0.9992220105	0.003420188203
72	0.9992829452	0.003387955434
73	0.9993463888	0.003354249612
74	0.9993508711	0.003333282125
75	0.9994114764	0.00331698883
76	0.9994114764	0.003262729071
77	0.9994127346	0.003186489272
78	0.9994132064	0.003140107358
79	0.9994136782	0.003107786601
80	0.9994146218	0.00307422719
81	0.9994143859	0.003025421808
82	0.9994789943	0.002988036696
83	0.9995402139	0.002963173778
84	0.9995401353	0.002939406873
85	0.9995402139	0.002927717549
86	0.9995406071	0.002911733531
87	0.9995424157	0.002879301076
88	0.9995420226	0.002855097606
89	0.9995415507	0.002844167583
90	0.9995415507	0.002829565303
91	0.9995419439	0.002811668309
92	0.9995418653	0.002800656751
93	0.9995420226	0.002782721812
94	0.9995457185	0.002754156307
95	0.9995455613	0.00274837489
96	0.9995455613	0.00270339498
97	0.9995461117	0.002672880916
98	0.9995467408	0.00264548327
99	0.9995468195	0.00263410001
